Order,ALA-LC,English,Español
1,مع,ma‘,With
2,أفضل,afḍul,Best
3,فقط,faqaṭṭ,Just
4,يجب,yajubb,Must
5,هي,hī,she
6,حتى,ḥattá,Even
7,حدث,ḥadath,Event
8,سوف,sawf,Will
9,رجل,rajil,Man
10,يوم,yawm,day
11,عمل,‘amil,Action
12,هم,hum,they
13,ثم,thamm,Then
14,تعرف,ta‘ruf,You know
15,قبل,qabl,Before
16,أو,aw,or
17,نحن,naḥn,we
18,متى,matá,when
19,كان,kān,It was
20,كيف,kayf,How
21,عند,‘ind,At
22,قد,qad,may
23,مرة,marratan,Once
24,منذ,mundh,Ago
25,أنا,anā,I
26,شيء,shī’,Thing
27,هنا,hunā,Here
28,من,man,From
29,تعلم,ta‘lam,Learn
30,ثانية,thāniyah,a second
31,أي,ay,Which
32,يمكن,yamukkunn,Can
33,بين,bayn,between
34,نعم,na‘am,Yeah
35,أم,am,Mother
36,لا,lā,No
37,نفسك,nafsuk,yourself
38,خلال,khilāl,During
39,صحيح,ṣaḥīḥ,Right
40,بدون,bidūn,without
41,لكن,lakinn,But
42,إذا,idhā,if
43,شخص,shakhaṣ,Person
44,غير,ghayr,Non
45,مثل,mithl,Like
46,توقف,tuwaqqif,Stop
47,هو,huw,He
48,و,w,And
49,إلى,ilá,to me
50,آخر,ākhir,else
51,أحد,aḥudd,One
52,على,‘alá,On
53,لأن,li’ann,Because
54,هناك,hunāk,There
55,كلا,kilā,Both
56,أكثر,akthar,More
57,قال,qāl,He said
58,ربما,rubbamā,Maybe
59,في,fī,at
60,جيد,jayid,good
61,هكذا,hakadhā,So
62,لذا,lidhā,So
63,وقت,waqqat,time
64,كل,kull,All
65,نفس,nafs,The same
66,تحت,taḥt,Under
67,انتظر,āintaẓar,wait
68,سعيد,sa‘īd,Happy
69,فكرة,fakurah,idea
70,مشكلة,mushkilah,Problem
71,جميل,jamīl,Lovely
72,كبير,kabīr,Big
73,أحب,uḥibb,I love
74,عظيم,‘aẓīm,Great
75,أمر,umirr,Command
76,خارج,khārij,Outside
77,دقيقة,daqīqah,Accurate
78,نوع,nawwa‘,Type
79,قتل,qatal,killing
80,مات,māt,Die
