Fiber Optics,الألياف البصرية,Al-Alyaf Al-Basariyah, 
Optical Fiber,ليف بصري,Leef Basari, 
Single Mode (SM),أحادي النمط,Uhadi Al-Namat, 
Multi Mode (MM),متعدد الأنماط,Muta'addid Al-Anmat, 
Core (Glass),القلب,Al-Qalb, 
Cladding,الغلاف,Al-Ghilaf, 
Coating/Buffer,الطلاء / العازل,Al-Tila / Al-Aazil, 
Jacket (Cable),السترة الخارجية,Al-Sutra Al-Kharijiyah, 
Cable,كابل / سلك,Kabel / Silk, 
Strand,جديلة / شعرة,Jadeela / Sha'rah, 
Mode Field Diameter,قطر مجال النمط,Qutr Majal Al-Namat, 
Index of Refraction,معامل الانكسار,Mu'amil Al-Inkisar, 
Wavelength,طول الموجة,Toul Al-Mawjah, 
Nanometer (nm),نانومتر,Nanometr, 
Decibel (dB),ديسيبل,Deesibel, 
Loss,فقد / خسارة,Faqd / Khasarah, 
Attenuation,توهين / ضعف الإشارة,Tawheen / Da'f Al-Isharah, 
Absorption,امتصاص,Imtisas, 
Scattering,تشتت,Tashattut, 
Reflection,انعكاس,In'ikas, 
Dispersion,تشتت لوني,Tashattut Lawni, 
Bandwidth,عرض النطاق,Ardh Al-Nitaq, 
Frequency,تردد,Taraddud, 
Speed of Light,سرعة الضوء,Sur'at Al-Daw, 
Splicing (Action),لحام,Laham, 
Fusion Splicer,ماكينة اللحام,Makinat Al-Laham, 
Mechanical Splice,لحام ميكانيكي,Laham Mikaniki, 
Cleaver,قاطعة الألياف,Qati'at Al-Alyaf, 
Cleave (Verb),قطع,Qat', 
Stripper (Tool),قشارة / زرادية,Qasharah / Zarradiah, 
Stripping (Action),تقشير,Taqsheer, 
Cleaning,تنظيف,Tantheef, 
Wipes (Lint-free),مناديل تنظيف,Manadeel Tantheef, 
Alcohol (IPA),كحول,Kuhool, 
Dust Cap,غطاء الغبار,Ghita Al-Ghubar, 
Connector,موصل / كونكتر,Moussil / Konnektor, 
Ferrule,الطويق (رأس الموصل),Al-Tuwaiq, 
End-face,وجه الموصل,Wajh Al-Moussil, 
Polish / Polishing,صقل / تلميع,Saql / Talmee', 
UPC (Ultra Physical Contact),يو بي سي,Yu-Pee-See, 
APC (Angled Physical Contact),أي بي سي (مشطوف),Ay-Pee-See (Mashtoof), 
MPO Connector,موصل متعدد (إم بي أو),Moussil Muta'addid (MPO), 
MTP Connector,إم تي بي,Em-Tee-Pee, 
Patch Cord / Jumper,وصلة عبور,Waslat 'Ubur, 
Pigtail,ذيل / وصلة طرفية,Dhayl / Waslah Tarfiyah, 
Adapter / Coupler,محول / قارنة,Muhawwil / Qarinah, 
Patch Panel,لوحة التوصيل,Lawhat Al-Tawseel, 
Enclosure / Box,علبة / صندوق,Ulbah / Sandouq, 
Tray (Splice Tray),صينية اللحام,Siniyat Al-Laham, 
Rack,كابينة / راك,Kabina / Rak, 
Termination,إنهاء / توصيل,Inha' / Tawseel, 
OTDR Device,جهاز الـ أو تي دي آر,Jihaz Al-OTDR, 
Trace (Graph),رسم بياني / تريس,Rasm Bayani / Trace, 
Event (on graph),حدث,Hadath, 
Dead Zone,منطقة عمياء,Mantiqah 'Amya, 
Launch Cable,كابل الإطلاق,Kabel Al-Itlaq, 
Receive Cable (Tail),كابل الاستقبال,Kabel Al-Istiqbal, 
Pulse Width,عرض النبضة,Ardh Al-Nabdhah, 
Dynamic Range,المدى الديناميكي,Al-Mada Al-Dinamiki, 
Averaging Time,وقت المتوسط,Waqt Al-Mutawassit, 
Distance,مسافة,Masafah, 
Kilometer,كيلومتر,Kilometr, 
Meter,متر,Metr, 
Slope (Graph),ميل,Mayl, 
Ghost (False event),شبح / خيال,Shabah / Khayal, 
Gainer (False gain),كسب وهمي,Kasb Wahmi, 
Macro-bend,انحناء كبير,Inhina Kabir, 
Micro-bend,انحناء دقيق,Inhina Daqeeq, 
Break / Cut,قطع,Qat', 
Fault / Defect,عطل / خلل,Utl / Khalal, 
Locate / Find,تحديد الموقع,Tahdeed Al-Mawqi, 
Visual Fault Locator (VFL),كاشف الأعطال الليزري,Kashif Al-A'tal (Laser), 
Red Light,ضوء أحمر,Daw Ahmar, 
Power Meter,مقياس القدرة,Miqyas Al-Qudrah, 
Light Source,مصدر ضوئي,Masdar Daw'i, 
Reference Value,قيمة مرجعية,Qimah Marji'iyah, 
Calibration,معايرة,Mu'ayarah, 
Test (Verb),فحص / اختبار,Fahs / Ikhtibar, 
Pass,ناجح / مقبول,Najih / Maqbool, 
Fail,فاشل / راسب,Fashil / Rasib, 
Link Budget,ميزانية الفقد,Mizaniyat Al-Faqd, 
Headroom (Margin),هامش,Hamish, 
Bi-directional Testing,فحص ثنائي الاتجاه,Fahs Thuna'i Al-Ittijah, 
Loopback,إرجاع الحلقة,Irja' Al-Halqah, 
Continuity,استمرارية,Istimrariyah, 
Interference,تداخل,Tadakhul, 
Signal Strength,قوة الإشارة,Quwat Al-Isharah, 
Weak Signal,إشارة ضعيفة,Isharah Da'eefah, 
No Signal,لا توجد إشارة,La Tujad Isharah, 
Dirty,وسخ / غير نظيف,Wasikh / Ghair Natheef, 
Scratch,خدش,Khadsh, 
Pit / Chip,نقر / كسر بسيط,Naqr / Kasr Baseet, 
Shattered,محطم / مكسور,Muhattam / Maksour, 
Spool / Reel,بكرة,Bakrah, 
Pulling Eye,عين السحب,Ain Al-Sahb, 
Conduit / Pipe,ماسورة / أنبوب,Masura / Anboub, 
Duct,مجرى,Majra, 
Manhole,غرفة تفتيش / منهول,Ghurfat Tafteesh / Manhole, 
Handhole,غرفة صغيرة,Ghurfat Sagheerah, 
Dark Fiber,ألياف غير مفعلة,Alyaf Ghair Mufa'alah, 
Lit Fiber,ألياف مفعلة,Alyaf Mufa'alah, 
Network,شبكة,Shabakah, 
Data Center,مركز بيانات,Markaz Bayanat  , 
English Term,Arabic (Site/Technical),Phonetic (Saudi/Gulf), 
Power,كهرباء / طاقة,Kahraba / Taqah, 
Voltage,جهد / فولت,Juhd / Volt, 
Current (Amps),تيار / أمبير,Tayyar / Ambeer, 
Resistance,مقاومة,Muqawamah, 
Frequency (Hz),تردد / هرتز,Taraddud / Hertz, 
Power Factor,معامل القدرة,Mu'amil Al-Qudrah, 
Generator,مولد,Mawallid, 
Diesel Generator,مولد ديزل,Mawallid Deezel, 
Fuel Tank,خزان وقود,Khazzan Wuqoud, 
Transformer,محول,Muhawwil, 
Step-down Transformer,محول خفض,Muhawwil Khafd, 
Step-up Transformer,محول رفع,Muhawwil Raf', 
Substation,محطة فرعية,Mahattah Far'iyyah, 
Switchgear,مفاتيح كهربائية,Mafateeh Kahraba'iyah, 
Circuit Breaker,قاطع دائرة,Qati' Da'irah, 
Main Breaker,قاطع رئيسي,Qati' Ra'eesi, 
Fuse,فيوز / منصهر,Fuse / Munsahir, 
Relay,مرحل / ريلاي,Murahhil / Relay, 
Busbar,قضيب توصيل / باسبار,Qadeeb Tawseel / Busbar, 
Busway,مسار الباسبار,Masar Al-Busbar, 
Cable Tray,حامل الكابلات,Hamil Al-Kabelat, 
Conduit,ماصورة كهرباء,Masura Kahraba, 
Wire,سلك,Silk, 
Grounding / Earthing,تأريض / إيرث,Ta'reed / Earthing, 
Ground Rod,قضيب التأريض,Qadeeb Al-Ta'reed, 
Neutral,متعادل / نيوترال,Muta'adil / Neutral, 
Phase,فاز / طور,Faz / Tawr, 
Single Phase,فاز واحد,Faz Wahid, 
Three Phase,ثلاثة فاز (3 فاز),Thalatha Faz, 
UPS (Uninterruptible Power Supply),يو بي إس (مانع انقطاع),Yu-Pee-Es, 
Battery,بطارية,Battariyah, 
Megapack (Storage),ميغاباك / تخزين طاقة,Megapack / Takhzeen Taqah, 
Inverter,عاس / انفرتر,Aakis / Inverter, 
Rectifier,مقوم / ريكتيفاير,Muqawwim / Rectifier, 
ATS (Auto Transfer Switch),مفتاح تحويل آلي,Muftah Tahweel Ali, 
PDU (Power Dist. Unit),وحدة توزيع الطاقة,Wahdat Tawzi' Al-Taqah, 
RPP (Remote Power Panel),لوحة طاقة فرعية,Lawhat Taqah Far'iyyah, 
Power Strip,مشترك كهرباء,Mushtarak Kahraba, 
Plug / Socket,فيش / مقبس,Feesh / Maqbas, 
Outlet,مخرج كهرباء,Makhraj Kahraba, 
Load,حمل,Haml, 
Peak Load,ذروة الحمل,Dhirwat Al-Haml, 
Overload,حمل زائد,Haml Za'id, 
Short Circuit,قصر كهربائي / شورت,Qasr Kahraba'i / Short, 
Arc Flash,قوس كهربائي,Qaws Kahraba'i, 
Lockout / Tagout (LOTO),عزل ووضع لافتة,Azl wa Wad' Lafitah, 
Danger High Voltage,خطر جهد عالي,Khatar Juhd 'Ali, 
Cooling,تبريد,Tabreed, 
HVAC,تكييف وتبريد,Takyeef wa Tabreed, 
Chiller,تشيلر / مبرد,Chiller / Mubarrad, 
Air Cooled,تبريد هوائي,Tabreed Hawa'i, 
Water Cooled,تبريد مائي,Tabreed Ma'i, 
Cooling Tower,برج تبريد,Burj Tabreed, 
CRAH (Computer Room Air Handler),وحدة مناولة هواء,Wahdat Munawalat Hawa, 
CRAC (Computer Room Air Cond.),مكيف غرفة خوادم,Mukayyif Ghurfat Khawadim, 
Compressor,ضاغط / كمبريسور,Daghit / Kompresor, 
Condenser,مكثف,Mukathif, 
Evaporator,مبخر,Mubakhir, 
Expansion Valve,صمام تمدد,Samam Tamaddud, 
Refrigerant / Freon,فريون / غاز التبريد,Freon / Ghaz Al-Tabreed, 
Liquid Cooling,تبريد سائل,Tabreed Sa'il, 
Direct-to-Chip,تبريد مباشر للمعالج,Tabreed Mubashir lil-Mu'alij, 
Immersion Cooling,تبريد بالغمر,Tabreed bil-Ghamr, 
Dielectric Fluid,سائل عازل,Sa'il 'Aazil, 
Manifold,موزع / مانيفولد,Mu'wazzi / Manifold, 
Coolant Distribution Unit (CDU),وحدة توزيع السائل,Wahdat Tawzi' Al-Sa'il, 
Pump,مضخة,Mudakhah, 
Impeller,مروحة المضخة,Marwahat Al-Mudakhah, 
Valve,صمام / محبس,Samam / Mahbas, 
Ball Valve,محبس كرة,Mahbas Kurrah, 
Butterfly Valve,محبس فراشة,Mahbas Farashah, 
Gate Valve,محبس بوابة,Mahbas Bawwabah, 
Check Valve,صمام عدم رجوع,Samam 'Adam Ruju', 
Actuator,مشغل الصمام,Mushaghil Al-Samam, 
Pipe,أنبوب / ماسورة,Anboub / Masura, 
Piping,توصيلات الأنابيب,Tawseelat Al-Anabeeb, 
Flange,فلنجة,Flanjah, 
Gasket,جوان / حشوة,Gawan / Hashwah, 
Insulation (Pipe),عزل حراري,Azl Harari, 
Leak Detection,كشف التسريب,Kashf Al-Tasreeb, 
Drip Pan,حوض التقطير,Hawd Al-Taqteer, 
Drain,تصريف / مجرى,Tasreef / Majra, 
Humidity,رطوبة,Rutubah, 
Dew Point,نقطة الندى,Nuqtat Al-Nada, 
Condensation,تكثف,Takathuf, 
Temperature,حرارة,Hararah, 
Thermometer,مقياس حرارة,Miqyas Hararah, 
Thermostat,ثرموستات / منظم,Thermostat / Munathim, 
Flow Meter,مقياس التدفق,Miqyas Al-Tadaffuq, 
Pressure Gauge,ساعة ضغط,Sa'at Daght, 
Bar (Unit),بار,Bar, 
PSI,بي إس آي,Pee-Es-Ay, 
Hot Aisle,ممر ساخن,Mamar Sakhin, 
Cold Aisle,ممر بارد,Mamar Barid, 
Containment,احتواء,Ihtiwa', 
Duct,دكت / مجرى هواء,Duct / Majra Hawa, 
Ventilation,تهوية,Tahwiyah, 
Fan,مروحة,Marwahah, 
Exhaust,عادم / طرد,Aadim / Tard, 
Filters,فلاتر / مرشحات,Falatir / Murashihat, 
Maintenance,صيانة,Siyanah, 
Preventive Maintenance,صيانة وقائية,Siyanah Waqa'iyah, 
English,Arabic,Phonetic, 
Right,يمين,Yameen, 
Left,يسار,Yasar, 
Center,وسط,Wasat, 
North,شمال,Shamal, 
South,جنوب,Janub, 
East,شرق,Sharq, 
West,غرب,Gharb, 
Above,فوق,Fog, 
Below,تحت,Taht, 
Front,قدام,Giddam, 
Behind,ورا,Wara, 
Straight,سيده,Sida, 
Corner,زاوية,Zawiya, 
Beside,جنبه,Janbeh, 
Between,بين,Bain, 
Inside,داخل,Dakhel, 
Outside,بره,Barra, 
Far,بعيد,Ba'eed, 
Near,قريب,Kareeb, 
High,عالي,A'ali, 
Low,واطي,Wati, 
Row,سرى,Sura, 
Aisle,ممر,Mammar, 
Hot aisle,ممر حار,Mammar harr, 
Cold aisle,ممر بارد,Mammar barid, 
Containment zone,منطقة احتواء,Mintaqat ehtiwā', 
Rack space,مكان الكبينة,Makan al-kabina, 
Raised floor,أرضية مرفوعة,Ardhiya marfoo'a, 
Underfloor,تحت الأرضية,Taht al-ardhiya, 
Ceiling grid,شبكة السقف,Shabakat al-saqf, 
Cable tray,سلة كابلات,Sallat kabilat, 
Fiber duct,مجرى ألياف,Majra alyaf, 
Entry point,نقطة دخول,Nuqtat dukhool, 
Exit point,نقطة خروج,Nuqtat khurooj, 
Vertical,عمودي,Amoodi, 
Horizontal,أفقي,Ofuqi, 
Parallel,موازي,Muwazi, 
Perpendicular,متقاطع,Mutaqati', 
Opposite,مقابل,Mugabil, 
Diagonal,مايل,Mayil, 
In front of rack,قدام الكبينة,Giddam al-kabina, 
Behind the rack,ورا الكبينة,Wara al-kabina, 
Middle of the row,وسط السرى,Wasat al-sura, 
End of row,نهاية السرى,Nihayat al-sura, 
Top of rack,فوق الكبينة,Fog al-kabina, 
Bottom of rack,أسفل الكبينة,Asfal al-kabina, 
Side panel,لوح جانبي,Loh janibi, 
Clearance,مساحة فضاوة,Misahat fadhawa, 
Obstruction,عائق,A'iq, 
Alignment,وزنية,Wazniya, 
Gap,فتحة,Fatha, 
High-density zone,منطقة كثافة عالية,Mintaqat kathafeh aliya, 
AI cluster,تجمع ذكاء اصطناعي,Tajamu' thaka' istina'i, 
Cooling loop,حلقة تبريد,Halqat tabreed, 
Liquid cooling path,مسار تبريد سائل,Masar tabreed sa'il, 
Manifold position,مكان المانيفولد,Makan al-manifold, 
Power strip,توصيلة كهرباء,Tawseelat kahraba, 
Busway,مسار الباسوي,Masar al-busway, 
Fiber splice point,نقطة تلحيم ألياف,Nuqtat talheem alyaf, 
